Training_accuracy,epoch,step,Validation_accuracy
0.15625,0,49,
0.21875,0,99,
0.1875,0,149,
0.21875,0,199,
0.21875,0,249,
0.53125,0,299,
0.375,0,349,
0.28125,0,399,
,0,424,0.5094117522239685
0.59375,1,449,
0.53125,1,499,
0.625,1,549,
0.6875,1,599,
0.6875,1,649,
0.75,1,699,
0.625,1,749,
0.5625,1,799,
0.75,1,849,
,1,849,0.7370588183403015
0.6875,2,899,
0.78125,2,949,
0.6875,2,999,
0.8125,2,1049,
0.6875,2,1099,
0.84375,2,1149,
0.78125,2,1199,
0.84375,2,1249,
,2,1274,0.7832353115081787
0.8125,3,1299,
0.71875,3,1349,
0.90625,3,1399,
0.78125,3,1449,
0.6875,3,1499,
0.8125,3,1549,
0.875,3,1599,
0.84375,3,1649,
0.71875,3,1699,
,3,1699,0.830294132232666
0.78125,4,1749,
0.875,4,1799,
0.90625,4,1849,
0.8125,4,1899,
0.65625,4,1949,
0.84375,4,1999,
0.75,4,2049,
0.71875,4,2099,
,4,2124,0.8588235378265381
