+-------+------------+-----------+----------+---------+
| Epoch | Train Loss | Train Acc | Val Loss | Val Acc |
+-------+------------+-----------+----------+---------+
|   1   |   2.215    |   22.868  |  2.096   |  51.029 |
|   2   |    1.36    |   61.706  |  0.953   |  72.706 |
|   3   |   0.847    |   73.765  |  0.666   |  80.529 |
|   4   |   0.663    |   79.559  |  0.536   |  83.471 |
|   5   |   0.535    |   83.684  |  0.418   |  88.441 |
|   6   |   0.394    |   88.037  |  0.334   |  90.588 |
|   7   |   0.302    |   91.037  |  0.275   |  91.706 |
|   8   |   0.256    |   92.493  |  0.239   |  93.824 |
|   9   |   0.218    |   93.449  |  0.204   |  94.412 |
|   10  |   0.205    |   93.787  |  0.179   |  95.088 |
|   11  |   0.178    |   94.588  |  0.182   |  95.176 |
|   12  |   0.172    |   95.103  |  0.172   |  95.118 |
|   13  |   0.155    |   95.36   |  0.152   |  95.853 |
|   14  |   0.146    |   95.61   |  0.151   |  95.853 |
|   15  |    0.15    |   95.699  |  0.153   |  95.441 |
|   16  |   0.132    |   96.022  |  0.145   |   96.0  |
|   17  |   0.127    |   96.022  |  0.147   |  96.235 |
|   18  |   0.126    |   96.191  |  0.137   |  96.441 |
|   19  |   0.126    |   96.309  |  0.168   |  95.618 |
|   20  |   0.116    |   96.434  |  0.135   |  96.647 |
|   21  |   0.116    |   96.603  |  0.145   |  96.353 |
|   22  |   0.107    |   96.75   |  0.127   |  96.853 |
|   23  |   0.107    |   96.904  |  0.127   |  96.559 |
|   24  |   0.104    |   96.853  |  0.137   |  96.353 |
|   25  |   0.101    |   97.037  |  0.121   |  96.559 |
+-------+------------+-----------+----------+---------+
